id,last_name,first_name,description,status,status_expired_set,current_status_interview,datenquelle,adresse,strasse,hausnummer,plz,arbeitsort,wohnort,wunscharbeitsort,umzugszwang,available,regionale_verfuegbarkeit,position_now,next_career_step,qualification,department,short_note,long_note,e_mail,tel,linkedin,anlage_wann,minicrm_id,how_where_contacted,export_timestamp,export_date
511,Wagner,Johanna,,contacted,,,,,,,,,,"CH, baden-württemberg, bayern",,,,,,Assistenzarzt,Radiologie,"Will nur in CH, Bayern oder BW arbeiten",,johanna.wagner@web.de,+49 1121254827,,2026-01-17 14:33:19.426869,10vv90mmrs20l28q10no1h7xf1jbdx,,2026-01-17 17:25:35,2026-01-17
978,Wolf,Elena,,interested,,,,,,,,,,,,,,,,Facharzt,Anästhesie,Will noch die WB in Intensivmedizin machen.,Will noch die WB in Intensivmedizin machen.,elena.wolf@web.de,+49 1428599378,,2026-01-17 14:33:19.316777,0k2iruvdg91pw3irqyae17jkrhgmys,,2026-01-17 17:25:35,2026-01-17
512,Krüger,Mara,Dr.,interested,,,,,,,,,,CH,True,Schweiz,,,,Facharzt,Radiologie,hat unterschrieben,placed bei Rodiag,mara.krüger@gmail.com,+49 1108068362,,2025-05-23 23:59:00,2qblbdbk2d18idyiwxft0q0ody4e8i,Email,2026-01-17 17:25:35,2026-01-17
528,Weber,Isabella,,interested,,,,,,,,,,dortmund,,,,,,Facharzt,Radiologie,Dortmund und Umgebung,"stv. Leiter bei Evidia

Engelskirchen und Wien angeboten

5 Jahre Praxis. MSK, Herz Q1 und Prostata Q1, kein Mamma, Kein Interventionen. 

14.03.2023 - TP: angeschriben Lin wg Radevormwald

ich bin offen für eine leitende Position, im Praxisbereich, im Krankenhaus oder auf regionaler Ebene, aber nur wenn diese in Dortmund oder in der nahen Umgebung ist",isabella.weber@web.de,+49 1827364887,,2025-09-05 23:59:00,0h3jaa2rcn1zzh3uydwz1b8mamqy49,LinkedIn,2026-01-17 17:25:35,2026-01-17
535,Schneider,Mila,Dr.,interested,,,,,,,,,,berlin,,,,,,Facharzt,Radiologie,Berlin,"23.06.2023
Guten Tag Frau Rusakow,

insgesamt bin ich nicht festgelegt ob MVZ oder Praxis. Ein zeitnaher Wechsel kommt für mich aktuell denke ich aufgrund meiner familiären Situation mit kleinen Kindern zuhause jedoch noch etwas zu früh. Gerne dürfen Sie mir jedoch weiterhin Angebote zukommen lassen.

Mit freundlichen Grüßen
Anselm Mayer.",mila.schneider@yahoo.de,+49 1964015542,,2026-01-17 14:33:19.430875,1ocj09vzq00gu664pr0s055q8kt1nn,,2026-01-17 17:25:35,2026-01-17
541,Hoffmann,Lea,Dr.,contacted,,,,,,,,,,"CH, DE",,,,,,Facharzt,Radiologie,offen für Umzug aus CH nach DE,"26.01.2023 - TP:

Stuttgart Leiter med360 angeboten. 

6 MOnate schnee ist zu viel

welches haus ist es? olga ?rente der der aktuellen CA

kurzfristig Aufhebung

umsatzerwartungen und zahlen im Vorfeld sprechen

business plan für die praxis

offene karten spielen

wichtig mit in die übernahmen eingebunden

es muss nicht nur die zahl stimmen auch das drumherum muss stimmen, man muss wissen was man für verantwortung dafür übernimmt

business plan

offen unterhalten welche erwartungen man hat und was man dafür bekommt

will vollgas arbeiten und aufbauen

frau ist in stuttgart gros geworden

in ulm studiert

umsatzerwartungen

hat seien angestellten auch 180k bezahl. wekchers rahmen hat der variable anteil und wann bekommt man den - finanzielle Sicherheit ist wichtig

betriebswagen vielleicht frau ist wicht günstige immobilien??

gerne persönlihc treffen",lea.hoffmann@gmail.com,+49 1395649469,,2026-01-17 14:33:19.431883,1f2xokwly51paa9d4dst1zjw7ws9ko,,2026-01-17 17:25:35,2026-01-17
543,Becker,Sophie,Dr.,interested,,,,,,,,,,düsseldorf,,,,Facharzt,"Standortleiter, Gesellschafter",Facharzt,Radiologie,Düsseldorf,"ist bei Radios 
Schnittbildgebung (MRT und CT), Muskuloskelettale Radiologie, Onkologische Bildgebung",sophie.becker@outlook.com,+49 1141054594,,2025-09-04 23:59:00,1foz62lsz41xrtts3wr80wg0r8x2m5,LinkedIn,2026-01-17 17:25:35,2026-01-17
544,Krüger,Johanna,Dr.,interested,,,,,,,,,,"bayern, münchen",False,Bayern,,Oberarzt,"Oberarzt, Ltd. OA, Standortleiter",Facharzt,Radiologie,München und Umgebung,"23.09.2024 - TP:
kommt selbst aus Bonn, wohnen in Süd München.
Will wechseln weil Uniklinik Ellenbogenmentalität
Frau ist auch AA Gyn.
SP MSK kann aber auch Onkologische. TU ist onko Lastig
will vllt auch Doppel FA mit Strahlen
wichtig Kollegen und Atmosphäre
gesagt dass das Gehalt 160-220k ist bei 48h Woche
haben 4 Kinder, will langfristig",johanna.krüger@web.de,+49 1879232248,,2025-05-01 23:59:00,16qe8x949818u3o2qfok0plapnibzo,Email,2026-01-17 17:25:35,2026-01-17
545,Fischer,Lea,Dr.,interested,,,,,,,,,,berlin,,,,,,Facharzt,Radiologie,Berlin,"05.04.2023 - TP: Conradia Berlin abgelehnt


21.02.2023 - TP:
Hallo Herr Putilin, vielen Dank für Ihre Nachrichten! Mein aktuelles Jahresgehalt sind 135 Tsd brutto all inclusive. Ich möchte mich nicht verschlechtern, idealerweise verbessern. Wären wir bei der GF-Assistenz bei ca. 150, bei Teilzeitstelle (3d à 10h also 75%) entsprechend zwischen 103 und 113. Über alles weitere (gestaffelt nach Probezeit o.Ä.) bin ich bereit zu reden. Kündigungsfrist haben Sie richtig in Erinnerung. Einzige Problematik hier- habe Ende Juli/ Anfang August Urlaub mit fester Buchung, den würde ich gerne nutzen. Viele Grüße, Christian Meybaum",lea.fischer@yahoo.de,+49 1709545120,,2026-01-17 14:33:19.431883,2gwnfu1k46129f4db71t23tac6u0rf,,2026-01-17 17:25:35,2026-01-17
554,Krüger,Isabella,,interested,,,,,,,,,,herne,,,,,,Facharzt,Radiologie,in Herne und Umgebung,,isabella.krüger@yahoo.de,+49 1053360606,,2026-01-17 14:33:19.432882,1y2m56pa4i2ace6yve3z0ng5phw5t3,,2026-01-17 17:25:35,2026-01-17
571,Schwarz,Lea,Dr.,contacted,,,,,,,,,,"CH, baden-württemberg",,,,,,Facharzt,Radiologie,"will 3,5 Jahre Nuk Weiterbildung bis DoppelFA - Rhein Nekar, Süd BW, Nord Schweiz","13.03.2024 - TP:
Sehr geehrter Herr Breig,

Ich hoffe, Sie haben eine angenehme Woche. 

Gerne möchte ich unseren Kontakt aus 2020 aufgreifen und mich erkundigen, ob ich Ihnen einen Weiterbildungsassistenten für Nuklearmedizin (noch 3,5 Jahre zum FA) vorstellen darf? Der Kollege ist bereits 2 Jahre FA für Radiologie und wünscht sich eine neue berufliche Herausforderung, bei der er seinen Doppelfacharzt abschließen kann.

Er hat großes Interesse seine Kenntnisse im Bereich des PET/CT zu vertiefen, wobei er sich natürlich über ein breites Tätigkeitsspektrum, sowie eine langfristige Perspektive freuen würde. 

Über eine kurze Rückmeldung, ob ich Ihnen den Kollegen unverbindlich vorstellen darf und ein kurzes Gespräch vorab mit Ihnen, würde ich mich sehr freuen. 
Herzlichen Dank im Voraus. 


07.03.2024 - TP:
Tel. will Weiterbildung (braucht Therapiestation) noch 3,5 Jahre machen bis dann DoppelFA",lea.schwarz@yahoo.de,+49 1650541083,,2026-01-17 14:33:19.435396,17ewd1f5hg2hwu4rf6ps0c00229y56,,2026-01-17 17:25:35,2026-01-17
575,Meyer,Mara,Dr.,interested,,,,,,,,,,"bonn, nordrhein-westfalen",False,NRW,,Facharzt,Standortleiter,Facharzt,Radiologie,Bonn und Umgebung,"will Leitung haben. Hat ein Haus gekauft in Bonn. Ist aktuell bei Praxisnetz Radiologie
Kann MRT,CT,Rö, Prostata und Mamma, aber kein Screening",mara.meyer@gmail.com,+49 1044004279,,2025-06-03 23:59:00,2aos67zrht2fs4cwa3km19qjo9d7u5,Tel.,2026-01-17 17:25:35,2026-01-17
585,Wolf,Maria,Dr.,interested,,,,,,,,,,"aachen, nordrhein-westfalen",,NRW,,Facharzt,"Facharzt, Standortleiter",Facharzt,Radiologie,Aachen und Umland,"hat ein eigenes Haus gekauft auf der niederländischen Seite bei Aachen. Hat auch ein Haus bei Münster. Arbeitet bei Life Link ehemals Radiologie Aachener Land. Macht viele Fortbildungen: Q1 KI, Q1 MRT und CT Herz, Q2 MSK, Q1 Lunge
hat einen neuen Vertrag mit 160+ und 1 Tag Home Office. Hat ein Angebot für eine OA Stelle nur Home Office. Hat eine Freundin in Hamm die ggf. an Praxis interessiert ist.",maria.wolf@outlook.com,+49 1042312584,,2025-08-15 23:59:00,0u9ri1whjj0edr2wuy461sso290sp2,Tel.,2026-01-17 17:25:35,2026-01-17
587,Wolf,Elena,Dr.,contacted,,,,,,,,,,stuttgart,,,,,,Facharzt,Radiologie,placed an med360 Stuttgart 02/2023,"30.01.2023 - TP:


26.01.2023 - TP:
Ich war viele Jahre als Gesellschafter und Geschäftsführer sowie als Radiologiemanager in eigener Praxis sowie für einen Investor tätig.
Gerne per Mail, da ich mich bis Ende der Woche im Urlaub befinde.

Kurz umrissen: 
Ich selbst war von 2000-2018 als Mitgesellschafter im MVZ Diagnostikzentrum Esslingen / Kirchheim niedergelassen und von 2018 an als Geschäftsführer, Leiter MVZ in Esslingen  für die RH-Diagnostik und Therapie tätig.
Zuletzt habe ich für die RH-DT Gruppe als Radiologiemnager im Cluster Stuttgart federführend u.a. die Vereinheitlichung der PACS und  RIS- Systeme sowie die Einführung eines zentralen Call- und Servicecenters begleitet.
Radiologisch liegt mein Schwerpunkt  in der Schnittbild- sowie zweitrangig der Mammadiagnostik.
Desweiteren bin ich derzeit Kommissionsmitglied der Ärztlichen Stelle nach Röntgenverordung der LÄK Baden-Württemberg.",elena.wolf@web.de,+49 1054978691,,2026-01-17 14:33:19.437396,0szqkzjud316h3zekzqf1jjuqdjvgl,,2026-01-17 17:25:35,2026-01-17
590,Richter,Maria,Dr.,contacted,,,,,,,,,,"CH, sachsen, sachsen-anhalt",,,,,,Facharzt,Radiologie,CH St. Gallen,,maria.richter@outlook.com,+49 1153732265,,2026-01-17 14:33:19.438396,1dkxcinww91nmetphmbq0g0316798m,,2026-01-17 17:25:35,2026-01-17
598,Krüger,Nina,,interested,,,,,,,,,,berlin,,,,Oberarzt,"Ltd. OA, Standortleiter, Gesellschafter",Facharzt,Radiologie,ist OA in Berlin,"ist OA in Berlin

16.02.2023 - TP:
ab 2019 FA und bekommt jetzt 140k bei 80% und inkl. 4 Dienste. Will nur Geld. 


02/2022 als OA dort angefangen - Teilzeit",nina.krüger@gmail.com,+49 1360195699,,2023-02-22 23:59:00,2n9afyyqry0ettpuzwj51bid88a8un,LinkedIn,2026-01-17 17:25:35,2026-01-17
609,Neumann,Clara,Dr.,interested,,,,,,,,,,"CH, DE",True,"ganz Deutschland, Schweiz",,Ltd. OA,"Chefarzt, Gesellschafter",Facharzt,Radiologie,CH und DE,"ist ltd. OA beim KSBaselland 
gerne Angebote aus CH und DE",clara.neumann@web.de,+49 1525992759,,2022-02-18 23:59:00,0szgdsxuuv14wr1std260qiyoo3vm9,LinkedIn,2026-01-17 17:25:35,2026-01-17
624,Bauer,Anna,Dr.,interested,,,,,,,,,,düsseldorf,,,,,,Facharzt,Radiologie,will Teilzeit nur 1 Tag pro Woche im Raum Düsseldorf,"06.01.2023 - TP:
Ich werde tatsächlich in Teilzeit in einem anderem Fachgebiet anfangen.  Das heisst, als Radiologin könnte/würde ich flexibel als Honorarärztin oder fest für einen Tag die Woche arbeiten. Wenn bei einem Ihrer Kunden für ein solches Modell Bedarf besteht, dann kontaktieren Sie mich gerne.

24.11.2022 - TP: Dies ist dem Umstand geschuldet, dass ich mich aktuell im Beschäftigungsverbot mit nachfolgendem Mutterschutz befinde und nur unregelmäßig bei Xing reinschaue. Nach der Elternzeit in ca. 1,5 Jahren bin ich selbstverständlich für neue Stellen offen und freue mich, wenn wir in Kontakt bleiben.

Leitung Martinus angeboten 

die Stelle klingt an sich sehr interessant, jedoch werde ich zunächst  nur in Teilzeit arbeiten, und bezweifle zudem, dass ich nach der Elternzeit direkt in einer führender Position anfangen kann.",anna.bauer@yahoo.de,+49 1072979043,,2026-01-17 14:33:19.442926,26zj59owuk0c66krdfm11uqztzp5th,,2026-01-17 17:25:35,2026-01-17
626,Schwarz,Emma,Dr.,contacted,,,,,,,,,,dresden,,,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,Radiologie,bei Conradia Dresden anonym vorgestellt - ab 200k,"24.07.2023 - TP:
Q2 MRT und CT Herz
seit 2001 FA
seit 2006 Neuroradiologie
seit 2008 Ltd. OA
2 Abteilungen mit aufgebaut ( MRT und Neuroradiologie) 
kommt aus Praxis Dr. Amler
Fokus Schnittbilddiagnostik und konv. Neuroradiologie


Der Bewerber ist seit   20 Jahren Facharzt, seit   15 Jahren mit der Zusatzbezeichnung Neuroradiologie und ist seit   10 Jahren als leitender OA tätig. Gleichzeitig hat er in dieser Zeit 2-mal erfolgreich eine radiologische Abteilung mit Spezialisierung mit aufgebaut und besitzt darüber hinaus auch das Q2 CT und MRT Herz Zertifikat. Seine aktuellen Schwerpunkte sind die Schnittbilddiagnostik und die diagnostische Neuroradiologe. 

Beide Standorte der Conradia sind ihm aus seinem näheren Umfeld gut bekannt und er bringt gleichzeitig auch eine Verbundenheit mit der Region Dresden, sowie ein regionales Netzwerk mit. 
Zu beachten wäre jedoch, dass seine aktuelle Vergütung bereits dem genannten Budget von 180-185k p.a. entspricht und ein Wechsel für ihn deshalb nur unter verbesserten finanziellen Bedingungen infrage kommt.",emma.schwarz@web.de,+49 1476678385,,2026-01-17 14:33:19.442926,2g3c5ylqxj2cpq2eu2lf08wh3u0oj5,,2026-01-17 17:25:35,2026-01-17
640,Klein,Lena,Dr.,interested,,,,,,,,,,stuttgart,,,,,,Facharzt,Radiologie,SP Mammografie in Raum Stuttgart,"22.05.2023 - TP:
Brunstzentum Frankfurt abgelehnt weil kein Umzug möglich. 

03.02.2021: Tel. arbeitet in einer Praxis in Stuttgart. Ist jetzt Stellvertreter vom Chef wenn der im Urlaub ist. Ist Programmverantwortlicher Arzt Mammografie. SP sind MRT und Mammografie. Will sich weiterentwickeln. Ist offen für alle Orte wenn Teilhaberschaft oder Leitungsposition. 180k all in kommunizeirt. Will CV senden.
08.02.2021: Nachfrageemail gesendet. 
09.02.2021: Will sich am Vormittag melden.
10.02.2021: Hat abgesagt, weil Gegenangebot von AG bekommen.",lena.klein@gmail.com,+49 1382586095,,2026-01-17 14:33:19.44504,1xlv796n432eg32grail0k1sqjh5wy,,2026-01-17 17:25:35,2026-01-17
845,Richter,Nina,,interested,,,,,,,,,,,,,,Facharzt,"Facharzt, Standortleiter, Gesellschafter",Facharzt,"Radiologie, Mammographie",PVA Mamma,ist PVA,nina.richter@gmail.com,+49 1092057418,,2025-09-04 23:59:00,0864uvo7s504dhreetvz2a5z4tli7v,XING,2026-01-17 17:25:35,2026-01-17
1031,Krüger,Mila,,contacted,,,,,,,,,,,,,,,,Facharzt,Orthopädie & UCH,,"05.12.2022 - EB:
Consultant of spine surgery",mila.krüger@outlook.com,+49 1258175186,,2026-01-17 14:33:19.323507,1x1zqxnirm28bdpduvao15g901p4rx,,2026-01-17 17:25:35,2026-01-17
641,Schulz,Julia,,interested,,,,,,,,,,"köln, nordrhein-westfalen",,NRW,,,,Facharzt,Radiologie,Köln und Umgebung,"20.03.25: TP - ist in Leverkusen unschön abgesprungen. 

05.12.2024 - TP:
Leverkusen Leiter Schnittbildangeboten mit 150k p.a. am Anfang.",julia.schulz@gmail.com,+49 1110869689,,2026-01-17 14:33:19.44504,1m1j7mlrgz1dq1koxv4r18odbeif63,,2026-01-17 17:25:35,2026-01-17
645,Weber,Elena,Dr.,contacted,,,,,,,,,,ulm,,,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,Radiologie,Ulm und 50km Radius,"26.01.2023 - TP:

vielen Dank für Ihre ausführliche Nachricht. Leider kommt die Stelle für mich aufgrund der Entfernung aktuell (noch) nicht in Betracht, ich wohne in Ulm und bin dort auch bis auf weiteres auf einen Radius bis ca. 50 km beschränkt, was meine Arbeitsstelle betrifft. Vielleicht ändert sich das ja in ein paar Jahren, wenn meine Tochter etwas älter ist. 

Sehr geehrter Herr Putilin, 
mit Interesse habe ich Ihre Stellenanzeige für die MVZ-Leitung in BW gelesen. Um welchen Ort handelt es sich genau? Je nach Entfernung von meinem aktuellen Wohnort käme die Stelle für mich in Frage. Ich bin promovierte FÄ für Radiologie mit Ökonomiestudium (MHBA), zusätzlich mit europäischen Diplomen in Radiologie und Neuroradiologie (EDiR, EDiNR) und Oberarzterfahrung. 
Mit freundlichen Grüßen, 
Dr. Johanna Schöppach, MHBA",elena.weber@web.de,+49 1557576273,,2026-01-17 14:33:19.446053,11ylmkbf6y2q0kjlifnu17vjtuy89e,,2026-01-17 17:25:35,2026-01-17
652,Weber,Elena,Dr.,contacted,,,,,,,,,,köln,,,,,,Facharzt,Radiologie,Köln und 30min Umgebung in TZ - kein med360 - kurz vor Entscheidung bei Strahleninstitut Köln,"03.03.2023 - TP:
will ab 01.04. wieder in TZ arbeiten
will 150-160k 
kann diagnostik, prostata und interventionen alles sehr gut
lebt rechtsrheinisch in Dellbrück, Leverkusen und alles 30min Umgebung
Mamma gerne nach einarbeitung 
TZ 5 Tage pro Woche und dann nur Vormittags
MVZ oder größere Klinik",elena.weber@outlook.com,+49 1019678903,,2026-01-17 14:33:19.44706,0lcvbophzj25er24ev8n2p5jm4cro1,,2026-01-17 17:25:35,2026-01-17
657,Schulz,Johanna,Dr.,interested,,,,,,,,,,"berlin, rostock",,,,,,Facharzt,Radiologie,ab 2024 in Berlin oder Rostock,"31.01.2023 - TP:
Hallo Herr Putilin,
danke für Ihre Nachricht. Ich bin derzeit nicht interessiert.
Gerne können sie mich nächstes Jahr nochmalig kontaktieren. Gerne für den Raum Berlin oder Rostock.
Mit freundlichen Grüßen
Barbara Simon",johanna.schulz@yahoo.de,+49 1804084497,,2026-01-17 14:33:19.448065,0vnxqlr0280uf7qy61tf2j39joxnak,,2026-01-17 17:25:35,2026-01-17
662,Zimmermann,Paula,,contacted,,,,,,,,,,pegnitz,,,,Freelancer,,Facharzt,Radiologie,Freelancer - placed nach Pegnitz,hat das englische Zertifikat für Teleradiologie gemacht.,paula.zimmermann@yahoo.de,+49 1452470268,,2025-10-21 23:59:00,0vvuoywomj12vlgk5u0o272wlirzks,Tel.,2026-01-17 17:25:35,2026-01-17
1033,Hartmann,Klara,,contacted,,,,,,,,,,,,,,,,Facharzt,Orthopädie & UCH,,,klara.hartmann@outlook.com,+49 1744071897,,2026-01-17 14:33:19.323507,09xe0deytk1pgl2zo0q615xwiunzqg,,2026-01-17 17:25:35,2026-01-17
670,Weber,Lena,Dr.,contacted,,,,,,,,,,stelle,,,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,Radiologie,aktuell 02/2023 neue Stelle,"21.02.2023 - TP:
Hallo Herr Putilin, aktuell bin ich in einer neuen Stelle und recht zufrieden. Daher muss ich aktuell passen. Vielen Dank trotzdem für das Angebot. 
Freundliche Grüße
Jonas Stief

nicht dieses Jahr 2021 - vllt später",lena.weber@gmail.com,+49 1694080315,,2026-01-17 14:33:19.449061,23x15j6cwg0v35jqrc6h1m3p8kiqt3,,2026-01-17 17:25:35,2026-01-17
678,Klein,Isabella,Dr.,interested,,offen,,,,,,,,"köln, nordrhein-westfalen",False,NRW,,"Facharzt, Oberarzt","Oberarzt, Ltd. OA, Standortleiter",Facharzt,Radiologie,Köln und Umgebung,"war bei Med360, kann aber gerne wieder. Nur nicht mit Dr. Gülz als Chef. 
Will Köln , wohnt in Porz, und pendeln ist OK. Will 4 Tage woche TZ, keine Dienste, nur Diagnostik, 
will 170k bei 40h 
3M zum Monatsende KF
kann MSK und Neuro, Kein Mamma, kein Prostata, kein Herz.",isabella.klein@outlook.com,+49 1091690091,,2025-05-16 23:59:00,1vvznv1j5527vrvao2p92bdi1dktu2,Tel.,2026-01-17 17:25:35,2026-01-17
844,Fischer,Mara,Dr.,contacted,,,,,,,,,,hamburg,,Hamburg,,Facharzt,Facharzt,Facharzt,"Radiologie, Mammographie",,hat einen neuen Job 11/2025,mara.fischer@outlook.com,+49 1755682854,,2026-01-17 14:33:19.298508,2o0h6eed2y1yd039qsf428t51d3y4g,,2026-01-17 17:25:35,2026-01-17
679,Wagner,Mara,,contacted,,,,,,,,,,gladbeck,,,,,,Facharzt,Radiologie,seit 01/2023 bei Radiologie Gladbeck & Kirchhellen,Standortleitung am EVK Herne Eickel blikk Gruppe,mara.wagner@web.de,+49 1780918843,,2026-01-17 14:33:19.451061,1nb1gternd286wjvaye81at819h45t,,2026-01-17 17:25:35,2026-01-17
682,Bauer,Isabella,Dr.,contacted,,,,,,,,,,geldern,,,,Chefarzt,"Chefarzt, Standortleiter",Facharzt,Radiologie,12/2022 CA in Geldern,"09.12.2022 - TP:
Tel. sehr angenehmes Telefonat. Wir sind so verblieben, dass wir gerne in Kontakt bleiben. Wird CA in Geldern

30.11.2022 - TP:
wird CA an Klinik

18.11.2022 - TP: Ist an Leitung im Martinus Düsseldorf interessiert. Bitte in 2 Wochen nochmal ansprechen.",isabella.bauer@gmail.com,+49 1040778468,,2026-01-17 14:33:19.451061,2br7vdz8pq14r5vpzdsn09ow7vvzr6,,2026-01-17 17:25:35,2026-01-17
685,Zimmermann,Lisa,Dr.,interested,,,,,,,,,,hamburg,False,Hamburg,,Facharzt,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,Radiologie,will in HH,"Tel. 12.03.2025: Lübeck kommt leider nicht infrage, weil aktuell 2 Kinder und Ehefrau arbeitet auch Vollzeit. Deswegen pendeln zu weit. Gerne in Kontakt bleiben und ansprechen wenn ich etwas in HH habe. 

bis August in Elternzeit. Tel. am 26.02.2025

Lebensmittelpunkt mit Familie in HH, hat aktuell nur 15 Min mit Fahrrad zur arbeit. 
Kennt auch Dr. Dyzmann.
Painpoint ist Gehalt. Kommuniziert dass er ca. 220k verdienen würde. Das wäre für ihn ein Argument. 
Dagegen spricht das Pendeln und dass er eigentlich alles an Interventioneller Neuroradiologie aktuell macht und in Lübeck weniger machen würde. 
Muss es sich nochmal mit der Familie überlegen. 

alt: ist noch ein junger FA seit 03/2020  - will noch nicht wechseln",lisa.zimmermann@web.de,+49 1103621124,,2025-02-26 23:59:00,25jm95c5is26rwf155cc1mfm81ue1n,Tel.,2026-01-17 17:25:35,2026-01-17
71,Weber,Julia,Dr.,interested,,,,,,,,,,bamberg,,,,,,Facharzt,Strahlentherapie,Seit Mitte 2023 in Bamberg,"09.02.2024 - TP: Tel. heute
Seit Mitte 2023 in Bamberg
Gefällt der Familie nicht
6 M Kündigungsfrist
kann zum Jahresende Umziehen
Kind 3 J. alt
Umzug OK
Vollzeit oder 80%, nicht weniger
Will Telefonat, dann Hospitation
Muss man alle Standorte (RoMed) abdecken
Wie ist das Gehalt 
wie viele MA und Untersuchungen am Tag
Brachytherapie dort oder in München? 
auch gerne wissenschaftlich
bei RoMed vorgestellt",julia.weber@outlook.com,+49 1282397969,,2026-01-17 14:33:19.365505,1umshhry2l2jjmsd1oc00ecxpuw6kj,,2026-01-17 17:25:35,2026-01-17
1040,Weber,Isabella,Dr.,contacted,,,,,,,,,,,,,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,Orthopädie & UCH,,,isabella.weber@gmail.com,+49 1984206691,,2026-01-17 14:33:19.324487,0pj0i6deue1atctwxugd2jpz0b1fw1,,2026-01-17 17:25:35,2026-01-17
729,Hoffmann,Isabella,Dr.,contacted,,,,,,,,,,ulm,,,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,Radiologie,bis 01/2023 an Bundeswehr - ab 02/2023 offen Umgebung Ulm,"26.01.2023 - TP:
leider früher raus aus BW nicht möglich

Wunschgehalt: 185k p.a. ohne Dienste

Verfügbarkeit zeitlich: ab 01.02.2023
Verfügbarkeit räumlich: Ulmer Region, 50-60km um Ulm, Schwiegereltern Schwarzwald und Göppertal

2 Jahre orthoopödie und chirrugie und

2 Jahr Harusarzt

3 Jahre jetzt FA, Alstfa und Obararzt

viele Orga aufgaben.

ab dieses Jahr QM bis 2024 machen

MSK Q1 im Herbst

Wo schon selbst beworben:



gerne klinik ist super, nur praxis ist zu langweilig

stuttgart kommt der mann und sie ist zur grundschule gegangen

maximalversorger

taumanetztwerk und hubschrauber

aktuell in Elternzeit und macht vertretung für radiologische Praxis 30 Stunden und viele MCK und 3,0 Tesla da

ab 2023 dann Vollzeit

geht auch 46 Stunden versteht das auch dass dass man mehr machen kann

gerne auch Home Office",isabella.hoffmann@outlook.com,+49 1403284127,,2026-01-17 14:33:19.457601,0qbpuqz2hz00awt4pr4y0g82q4xr00,,2026-01-17 17:25:35,2026-01-17
741,Schmidt,Julia,Dr.,interested,,,,,,,,,,nordrhein-westfalen,,NRW,,,,Facharzt,Radiologie,nur Mammografie,"01.12.2022 - TP: 16.08.2021: Tel. Ziehen mit Mann Ende des Jahres nach Bochum. Will nur Mammografie!!! Nur Teilzeit! Aktuell 4 Tage Woche mit 34h und 10k pro Monat. Will sich verbessern. 3 Tage Woche ca. 26h.
Hat 6 Monate Kündigungsfrist 
Ist nicht auf der Suche aber offen für Angebote. Nicht blikk!!! 
Ist jetzt 1,5 Wochen bis 28.08. in Urlaub. Vereinbart dass ich in der Zwischenzeit mich umhöre und dann bei Ihr 30.08. melde. Sie will dann CV senden sodass ich alles anonym machen kann.


16.08.2021: Tel. Ziehen mit Mann Ende des Jahres nach Bochum. Will nur Mammografie!!! Nur Teilzeit! Aktuell 4 Tage Woche mit 34h und 10k pro Monat. Will sich verbessern. 3 Tage Woche ca. 26h.
Hat 6 Monate Kündigungsfrist 
Ist nicht auf der Suche aber offen für Angebote. Nicht blikk!!! 
Ist jetzt 1,5 Wochen bis 28.08. in Urlaub. Vereinbart dass ich in der Zwischenzeit mich umhöre und dann bei Ihr 30.08. melde. Sie will dann CV senden sodass ich alles anonym machen kann.
15.09.2021: Tel. wissen doch nicht genau ob es mit dem Umzug klappt. Vereinbart, dass wir abwarten und ich mich dann erkundigen werde.

06.10.2021: SMS gesendet. 
07.10.2021: SMS bekommen. Vielleicht nach Umzug. Sie will sich melden. 
21.04.2022: SMS geschrieben
22.04.2022: SMS bekommen",julia.schmidt@outlook.com,+49 1759951155,,2026-01-17 14:33:19.45962,11a53ayahr1hjl4isbop23lophpflo,,2026-01-17 17:25:35,2026-01-17
749,Schulz,Julia,,interested,,,,,,,,,,nordrhein-westfalen,,NRW,,Facharzt,"Oberarzt, Ltd. OA, Standortleiter",Facharzt,Radiologie,ab Ende 2023 verfügbar - jetzt Eltenzeit,"31.01.2023 - TP: über Recruiter geschrieben und Leitung Martinus angeboten. 
Hallo! Vielen Dank für die Nachricht. Ich befinde mich momentan in Elternzeit. Ich hätte gerne Interesse in einem späteren Zeitpunkt bzw Ende 2023 für eine ähnliche Position.",julia.schulz@yahoo.de,+49 1812226091,,2026-01-17 14:33:19.460587,0sogjjyp2a2e9e6zucgo1znn0hmbjo,,2026-01-17 17:25:35,2026-01-17
750,Neumann,Emma,,interested,,,,,,,,,,"bochum, nordrhein-westfalen",False,NRW,,Facharzt,"Standortleiter, Gesellschafter",Facharzt,Radiologie,Bochum +25Min / will Leitung,"Macht Diagnostische Radiologie. Hat aktuell keine Leitung und das wäre der nächste Schritt für Ihr. Gerne um Bochum 25Min Fahrzeit. Essen, Dortmund, Wuppertal.",emma.neumann@web.de,+49 1663684138,,2025-03-31 23:59:00,0i9zx9gpj60rxe3lflsv2n7u3qqdg7,Tel.,2026-01-17 17:25:35,2026-01-17
